Time,Modified_Signal
0.0,-2.6695203505952227e-05
0.001,-2.949765369164329e-05
0.002,-3.2108426568830055e-05
0.003,-3.435117639007004e-05
0.004,-3.5109279640957816e-05
0.005,-3.553788696261528e-05
0.006,-3.586550918538475e-05
0.007,-3.6685156133185664e-05
0.008,-3.6236643692840014e-05
0.009,-3.4583007976711675e-05
0.01,-3.358480864021391e-05
0.011,-3.357633852101004e-05
0.012,-3.36473542876687e-05
0.013,-3.393297573316264e-05
0.014,-3.461303247430365e-05
0.015,-3.402059145613007e-05
0.016,-3.285792767163586e-05
0.017,-3.321703943989509e-05
0.018,-3.3101140730711e-05
0.019,-3.284348652165658e-05
0.02,-3.2720405787483034e-05
0.021,-3.1156436625204746e-05
0.022,-3.012080529264355e-05
0.023,-2.7515940924787087e-05
0.024,-2.6660032253694123e-05
0.025,-2.68665991734045e-05
0.026,-2.582451768835392e-05
0.027,-2.5081832841552443e-05
0.028,-2.343604582755552e-05
0.029,-2.333248239628227e-05
0.03,-2.367102225410246e-05
0.031,-2.5220113680557283e-05
0.032,-2.8335835395118156e-05
0.033,-2.968298510684543e-05
0.034,-2.7854892324094733e-05
0.035,-2.5888909083665852e-05
0.036,-2.527527473913113e-05
0.037,-2.565814947736117e-05
0.038,-2.282887941450041e-05
0.039,-1.9012783176592497e-05
0.04,-1.6651735829936398e-05
0.041,-1.3485414606814662e-05
0.042,-1.0934174587756747e-05
0.043,-9.28613598337722e-06
0.044,-9.390264127135822e-06
0.045,-8.156152460096478e-06
0.046,-6.36006374179208e-06
0.047,-4.8557420778499976e-06
0.048,-5.2877521393930205e-06
0.049,-7.604754695821604e-06
0.05,-6.970240455376209e-06
0.051,-6.968789347495916e-06
0.052,-7.5067986174830724e-06
0.053,-8.90767393011391e-06
0.054,-1.080251834378248e-05
0.055,-1.1518203109757805e-05
0.056,-1.1965214440751224e-05
0.057,-1.3727753179945501e-05
0.058,-1.605820468949872e-05
0.059,-1.7877354984702398e-05
0.06,-1.9880732074629266e-05
0.061,-2.1850368315792506e-05
0.062,-2.3570295144269694e-05
0.063,-2.354336467083495e-05
0.064,-2.3106667894442913e-05
0.065,-2.3642946214753246e-05
