Time,Modified_Signal
0.0,7.895290661553567e-11
0.00025,6.890055270811101e-11
0.0005,4.810069612543046e-11
0.00075,2.0691173946781953e-11
0.001,-8.256750764519877e-12
0.00125,-3.2907239671733816e-11
0.0015,-4.833485820804619e-11
0.00175,-5.178153854857612e-11
0.002,-4.340370541684494e-11
0.00225,-2.6343868941619512e-11
0.0025,-5.800367202329489e-12
0.00275,1.2411415304645634e-11
0.003,2.3543934477472915e-11
0.00325,2.5040136451467368e-11
0.0035,1.7263630171865874e-11
0.00375,3.2060252388124544e-12
0.004,-1.2531596817243362e-11
0.00425,-2.5017492741722303e-11
0.0045,-3.043062512392116e-11
0.00475,-2.7150234243553063e-11
0.005,-1.6163666596864112e-11
0.00525,-6.994611569422694e-13
0.0055,1.476825086198382e-11
0.00575,2.5936339246427993e-11
0.006,2.9905461182232755e-11
0.00625,2.59910815415807e-11
0.0065,1.586420359923131e-11
0.00675,2.9829686546323215e-12
0.007,-8.501766168485632e-12
0.00725,-1.4974885228591476e-11
0.0075,-1.4350050211264596e-11
0.00775,-6.843412479453955e-12
0.008,5.4480395006836934e-12
0.00825,1.9179319306310315e-11
0.0085,3.070146404885969e-11
0.00875,3.708649146362561e-11
0.009,3.715541420393699e-11
0.00925,3.1667159578362475e-11
0.0095,2.2841852445415284e-11
0.00975,1.372661313853082e-11
0.01,7.292348638461388e-12
0.01025,5.512738265972137e-12
0.0105,8.843713606570338e-12
0.01075,1.6135341115823594e-11
0.011,2.5223800082709457e-11
0.01125,3.33660319133147e-11
0.0115,3.846182641904381e-11
0.01175,3.9169695004961905e-11
0.012,3.559806196901393e-11
0.01225,2.9107881730934137e-11
0.0125,2.155475440846006e-11
0.01275,1.5153142865222738e-11
0.013,1.1285782701307886e-11
0.01325,1.0606832095380332e-11
0.0135,1.2738686333995589e-11
0.01375,1.640221999216277e-11
0.014,2.0081114715123092e-11
0.01425,2.2387118393835233e-11
0.0145,2.236062402704677e-11
0.01475,1.986289182251119e-11
0.015,1.5580377032457327e-11
0.01525,1.0483062534210073e-11
0.0155,5.740375751603413e-12
0.01575,2.3863822141440443e-12
0.016,7.510961537321334e-13
0.01625,7.88007996349902e-13
0.0165,2.018392922971568e-12
0.01675,3.638035203808942e-12
0.017,4.880018534275293e-12
0.01725,5.194629410514018e-12
0.0175,4.377061232849146e-12
0.01775,2.570330246404744e-12
0.018,1.9323159123828406e-13
0.01825,-2.2113439910629864e-12
0.0185,-4.144779141456299e-12
0.01875,-5.249739822383877e-12
0.019,-5.393359555963014e-12
0.01925,-4.669258496560534e-12
0.0195,-3.349778083359706e-12
0.01975,-1.8345872577778482e-12
0.02,-5.321526131986282e-13
0.02025,1.8183163885757285e-13
0.0205,7.604713995099614e-14
0.02075,-8.876793943333115e-13
0.021,-2.549366018947435e-12
0.02125,-4.522515926717047e-12
0.0215,-6.312796172966936e-12
0.02175,-7.385264754579752e-12
0.022,-7.325035866859144e-12
0.02225,-5.977635543026157e-12
0.0225,-3.5407552264638876e-12
0.02275,-5.5239103338611e-13
0.023,2.1997975551286686e-12
0.02325,3.891281808661253e-12
0.0235,3.910953372290371e-12
0.02375,2.062753888645731e-12
0.024,-1.269614290578965e-12
0.02425,-5.184510676853724e-12
0.0245,-8.462683639043365e-12
0.02475,-9.923621633591583e-12
0.025,-8.762160784867521e-12
0.02525,-4.8823822217568644e-12
0.0255,1.0122166483915303e-12
0.02575,7.542818696486428e-12
0.026,1.3015424589237963e-11
0.02625,1.5897015645718286e-11
0.0265,1.5348648247234015e-11
