Time,Amplitude
0.00025,1.13
0.0005,1.06
0.00075,0.875
0.001,0.621
0.00125,0.344
0.0015,0.0924
0.00175,-0.11
0.002,-0.249
0.00225,-0.323
0.0025,-0.34
0.00275,-0.314
0.003,-0.263
0.00325,-0.204
0.0035,-0.15
0.00375,-0.107
0.004,-0.0769
0.00425,-0.0571
0.0045,-0.0437
0.00475,-0.0343
0.005,-0.0268
0.00525,-0.0196
0.0055,-0.0117
0.00575,-0.00258
0.006,0.00796
0.00625,0.0195
0.0065,0.0322
0.00675,0.0462
0.007,0.0615
0.00725,0.0781
0.0075,0.096
0.00775,0.115
0.008,0.135
0.00825,0.157
0.0085,0.179
0.00875,0.201
0.009,0.224
0.00925,0.248
0.0095,0.271
0.00975,0.293
0.01,0.315
0.01025,0.336
0.0105,0.355
0.01075,0.372
0.011,0.387
0.01125,0.4
0.0115,0.41
0.01175,0.418
0.012,0.422
0.01225,0.424
0.0125,0.422
0.01275,0.416
0.013,0.408
0.01325,0.396
0.0135,0.383
0.01375,0.367
0.014,0.349
0.01425,0.33
0.0145,0.309
0.01475,0.287
0.015,0.265
0.01525,0.242
0.0155,0.218
0.01575,0.195
0.016,0.172
0.01625,0.149
0.0165,0.128
0.01675,0.107
0.017,0.0866
0.01725,0.068
0.0175,0.0509
0.01775,0.0354
0.018,0.0215
0.01825,0.00913
0.0185,-0.00188
0.01875,-0.0116
0.019,-0.02
0.01925,-0.0273
0.0195,-0.0335
0.01975,-0.0387
0.02,-0.043
0.02025,-0.0464
0.0205,-0.0491
0.02075,-0.051
0.021,-0.0523
0.02125,-0.0531
0.0215,-0.0533
0.02175,-0.0532
0.022,-0.0526
0.02225,-0.0518
0.0225,-0.0508
0.02275,-0.0496
0.023,-0.0482
0.02325,-0.0467
0.0235,-0.045
0.02375,-0.0431
0.024,-0.0409
0.02425,-0.0382
0.0245,-0.0351
0.02475,-0.0314
0.025,-0.0269
0.02525,-0.0214
0.0255,-0.0149
0.02575,-0.00709
0.026,0.00224
0.02625,0.0133
0.0265,0.0264
0.02675,0.0417
0.027,0.059
0.02725,0.0781
0.0275,0.0989
0.02775,0.121
0.028,0.144
0.02825,0.167
0.0285,0.189
0.02875,0.21
0.029,0.23
0.02925,0.246
0.0295,0.259
0.02975,0.267
0.03,0.27
0.03025,0.269
0.0305,0.263
0.03075,0.252
0.031,0.238
0.03125,0.22
0.0315,0.199
0.03175,0.177
0.032,0.153
0.03225,0.129
0.0325,0.106
0.03275,0.084
0.033,0.0639
0.03325,0.0462
0.0335,0.0309
0.03375,0.0178
0.034,0.00623
0.03425,-0.00496
0.0345,-0.0172
0.03475,-0.0322
0.035,-0.0522
0.03525,-0.0795
0.0355,-0.114
0.03575,-0.151
0.036,-0.184
0.03625,-0.2
0.0365,-0.187
