Time,Modified_Signal
0.0,2.0657203177189116e-07
0.00025,1.8439240091830108e-07
0.0005,1.4099524333286606e-07
0.00075,8.476327869164563e-08
0.001,2.9231264317319622e-08
0.00125,-1.4245009359851703e-08
0.0015,-3.873043047419565e-08
0.00175,-4.4841908212411533e-08
0.002,-3.991952760609911e-08
0.00225,-3.3824842325408065e-08
0.0025,-3.4034441050237085e-08
0.00275,-4.177992742633003e-08
0.003,-5.214942673831644e-08
0.00325,-5.7448663500814426e-08
0.0035,-5.272265960822106e-08
0.00375,-3.882068139033005e-08
0.004,-2.228522864572294e-08
0.00425,-1.1578586044174316e-08
0.0045,-1.175792940275152e-08
0.00475,-2.1403400249797945e-08
0.005,-3.356960558427828e-08
0.00525,-3.999613737242163e-08
0.0055,-3.6073239238662414e-08
0.00575,-2.346360319067687e-08
0.006,-8.71368408617738e-09
0.00625,8.216970150035576e-10
0.0065,1.2967181889980544e-09
0.00675,-5.6563643966514305e-09
0.007,-1.4428645530756022e-08
0.00725,-1.9101923941387163e-08
0.0075,-1.6805893410281896e-08
0.00775,-8.645698603153603e-09
0.008,1.202707139343748e-09
0.00825,9.119791667974223e-09
0.0085,1.3993039134441375e-08
0.00875,1.7164745562129918e-08
0.009,2.079463175454233e-08
0.00925,2.6642653975673735e-08
0.0095,3.495099909809459e-08
0.00975,4.445057062881772e-08
0.01,5.38146308234228e-08
0.01025,6.266961355440518e-08
0.0105,7.133735388343364e-08
0.01075,8.00634822862412e-08
0.011,8.816992316431289e-08
0.01125,9.458133496479337e-08
0.0115,9.784092993637564e-08
0.01175,9.808122894578604e-08
0.012,9.597311164584886e-08
0.01225,9.31035637482583e-08
0.0125,9.084354775266621e-08
0.01275,8.887421063896703e-08
0.013,8.667793111497001e-08
0.01325,8.288251719037809e-08
0.0135,7.734526126847292e-08
0.01375,7.09026081868238e-08
0.014,6.459603545961561e-08
0.01425,5.94962658050512e-08
0.0145,5.587653613020027e-08
0.01475,5.306540923001182e-08
0.015,5.044557692525235e-08
0.01525,4.806712146738921e-08
0.0155,4.588234007455451e-08
0.01575,4.401771948338869e-08
0.016,4.244117336153796e-08
0.01625,4.006908211466988e-08
0.0165,3.6185772962590784e-08
0.01675,3.0650557899714024e-08
0.017,2.380730654771386e-08
0.01725,1.649831174850928e-08
0.0175,9.387875816915846e-09
0.01775,2.5665324486265917e-09
0.018,-4.4141625897430865e-09
0.01825,-1.2008313154005087e-08
0.0185,-2.0178191937792265e-08
0.01875,-2.827176315005713e-08
0.019,-3.529347399264105e-08
0.01925,-4.0479187156902767e-08
0.0195,-4.3649699608502464e-08
0.01975,-4.510769809695173e-08
0.02,-4.5312116571886735e-08
0.02025,-4.4422623566494976e-08
0.0205,-4.2375507182431964e-08
0.02075,-3.907655866540315e-08
0.021,-3.475506400716231e-08
0.02125,-3.010342690993169e-08
0.0215,-2.589831301029046e-08
0.02175,-2.2718054193310623e-08
0.022,-2.0602409213291247e-08
0.02225,-1.9210389153192952e-08
0.0225,-1.821034861590899e-08
0.02275,-1.7586939114844606e-08
0.023,-1.7607090323012705e-08
0.02325,-1.8531074665272435e-08
0.0235,-2.0231127004216697e-08
0.02375,-2.206911661075294e-08
0.024,-2.3223167077394826e-08
0.02425,-2.3004359793296625e-08
0.0245,-2.121623464028037e-08
0.02475,-1.8077021510403906e-08
0.025,-1.3944001536740864e-08
0.02525,-8.8847811402619e-09
0.0255,-2.7092957034619238e-09
0.02575,4.836193509616883e-09
0.026,1.3712751230054944e-08
0.02625,2.3425719215514958e-08
0.0265,3.312178942413021e-08
0.02675,4.203352709738057e-08
0.027,4.973624924009483e-08
0.02725,5.614572602718904e-08
0.0275,6.130591962183753e-08
0.02775,6.511365597652548e-08
0.028,6.729959431254958e-08
0.02825,6.783458956423407e-08
0.0285,6.692637458508258e-08
0.02875,6.473071468745969e-08
0.029,6.212610795581122e-08
0.02925,5.9286177090360045e-08
0.0295,5.627393087105655e-08
0.02975,5.2919781944763304e-08
0.03,4.879149562167e-08
0.03025,4.406664062089513e-08
0.0305,3.96997989823652e-08
0.03075,3.635090443916107e-08
0.031,3.46376076508531e-08
0.03125,3.4465685029149767e-08
0.0315,3.45197987766505e-08
0.03175,3.3653524871459775e-08
0.032,3.089340458518298e-08
0.03225,2.600462391104325e-08
0.0325,1.9753090169887612e-08
0.03275,1.3294343858369371e-08
0.033,7.518111017669382e-09
0.03325,2.6390434627622556e-09
0.0335,-1.948434539796177e-09
0.03375,-7.3041554295850695e-09
0.034,-1.4373297154338935e-08
0.03425,-2.3464444165585875e-08
0.0345,-3.4131673471802675e-08
0.03475,-4.5298834862692126e-08
0.035,-5.5445350277261905e-08
0.03525,-6.291407675291902e-08
0.0355,-6.674465399758571e-08
0.03575,-6.586400392391512e-08
0.036,-5.988457207780918e-08
0.03625,-4.7846769508972345e-08
0.0365,-2.77073917411662e-08
0.03675,1.5875898026415651e-09
0.037,3.954717279891371e-08
0.03725,8.295262966404015e-08
0.0375,1.2585397659861833e-07
0.03775,1.5902523417306028e-07
0.038,1.7575482728750223e-07
0.03825,1.6993435434601993e-07
0.0385,1.429995747793109e-07
0.03875,1.0319398951614193e-07
0.039,5.920610983747648e-08
0.03925,1.8953927255886677e-08
0.0395,-1.2895331568417662e-08
0.03975,-3.484031018120025e-08
0.04,-4.7387242615146856e-08
0.04025,-5.155894727020523e-08
0.0405,-4.9687531380070924e-08
0.04075,-4.3026929225962284e-08
0.041,-3.267195624253935e-08
0.04125,-1.964810214449326e-08
0.0415,-6.164104478128726e-09
0.04175,5.438010506856972e-09
0.042,1.3879781050286924e-08
0.04225,1.9197608805661855e-08
0.0425,2.220246859347716e-08
0.04275,2.4285398781224754e-08
0.043,2.6665251137533135e-08
0.04325,2.985331938997792e-08
0.0435,3.340125735802535e-08
0.04375,3.624942321170382e-08
0.044,3.7357005996668464e-08
0.04425,3.634770611907798e-08
0.0445,3.3590567974649205e-08
0.04475,3.012987106920047e-08
0.045,2.7177307732123966e-08
0.04525,2.5648328024414938e-08
0.0455,2.6012496609253485e-08
0.04575,2.779036467009275e-08
0.046,3.023644828365672e-08
0.04625,3.248406048875886e-08
0.0465,3.4455117854863516e-08
0.04675,3.5922104632069646e-08
0.047,3.7449732213978074e-08
0.04725,3.9729870463818894e-08
0.0475,4.28205978603527e-08
0.04775,4.6667584359752725e-08
0.048,5.0832070250235784e-08
0.04825,5.4681211681960536e-08
0.0485,5.7541972651479964e-08
0.04875,5.927437615366696e-08
0.049,5.955322811941107e-08
0.04925,5.88043834920086e-08
0.0495,5.728436996020012e-08
0.04975,5.5113267217751036e-08
0.05,5.29150326801842e-08
0.05025,5.0641224358932715e-08
0.0505,4.8591925711282856e-08
0.05075,4.666862234427708e-08
0.051,4.479339467788924e-08
0.05125,4.248148447157739e-08
0.0515,3.964540317673616e-08
0.05175,3.66773621128109e-08
0.052,3.380432523251178e-08
0.05225,3.1516341983616946e-08
0.0525,3.028642203585623e-08
0.05275,3.0067970039345546e-08
0.053,3.050618223484218e-08
0.05325,3.102528547304511e-08
0.0535,3.1300087182902955e-08
0.05375,3.097954421538769e-08
0.054,3.011031783092684e-08
0.05425,2.903647233595473e-08
0.0545,2.753596342450293e-08
0.05475,2.6328743080102484e-08
0.055,2.49713739031619e-08
0.05525,2.3838478810236382e-08
0.0555,2.2674232453317723e-08
0.05575,2.1442204082443854e-08
0.056,1.9923918753702652e-08
0.05625,1.7969894255082133e-08
0.0565,1.5536705260985036e-08
0.05675,1.2807522353510065e-08
0.057,1.0210411058200028e-08
0.05725,8.240042179854115e-09
0.0575,7.2890985250041495e-09
0.05775,7.453172349246776e-09
0.058,8.470651243186789e-09
0.05825,9.915094245948265e-09
0.0585,1.1332477232402157e-08
0.05875,1.2486341384193303e-08
0.059,1.3340290166060567e-08
0.05925,1.4031321072294293e-08
0.0595,1.4695371625516864e-08
0.05975,1.5335217367533476e-08
0.06,1.5854809197988843e-08
0.06025,1.610428857966417e-08
0.0605,1.5822273322001863e-08
0.06075,1.481306297338525e-08
0.061,1.289832377416019e-08
0.06125,9.960902216331752e-09
0.0615,6.08262563768108e-09
0.06175,1.5558220407450053e-09
0.062,-3.089957815010335e-09
0.06225,-7.250462921303852e-09
0.0625,-1.0424055884101707e-08
0.06275,-1.2393890307390165e-08
0.063,-1.326575444156197e-08
0.06325,-1.3286137047813617e-08
0.0635,-1.2716542154809037e-08
0.06375,-1.163369642328953e-08
0.064,-9.93199380543263e-09
0.06425,-7.39055071469581e-09
0.0645,-3.8408049283893996e-09
0.06475,6.999122896568827e-10
0.065,5.971466136593299e-09
0.06525,1.1511463409699338e-08
0.0655,1.698221410266107e-08
0.06575,2.196050828241812e-08
0.066,2.5985917316734493e-08
0.06625,2.8767927530821648e-08
0.0665,3.034418925270287e-08
0.06675,3.067185646058525e-08
0.067,3.0203237778025645e-08
0.06725,2.970368670084844e-08
0.0675,2.9429656503284176e-08
0.06775,2.962909147157097e-08
0.068,2.999242938181624e-08
0.06825,3.0231930409325045e-08
0.0685,2.9757162813331748e-08
0.06875,2.8650812900443886e-08
0.069,2.7123720572206363e-08
0.06925,2.6244600618283533e-08
0.0695,2.6560465914315038e-08
0.06975,2.8425065267850352e-08
0.07,3.144132603797735e-08
0.07025,3.442195921564506e-08
0.0705,3.602594465067166e-08
0.07075,3.5627942246557204e-08
0.071,3.3305953318077073e-08
0.07125,2.978260729032252e-08
0.0715,2.6148003099708458e-08
0.07175,2.3202807904065135e-08
0.072,2.095317812375133e-08
0.07225,1.860941675332991e-08
0.0725,1.4911594988859185e-08
0.07275,9.144804229888698e-09
0.073,1.3821599619454832e-09
0.07325,-7.355145332841095e-09
0.0735,-1.586614821993524e-08
0.07375,-2.295536653676162e-08
0.074,-2.7053778015249366e-08
0.07425,-2.6885224397255316e-08
0.0745,-2.1812561829450215e-08
0.07475,-1.1186502235719526e-08
0.075,6.338698322610249e-09
0.07525,3.264069020148485e-08
0.0755,6.884199963779647e-08
0.07575,1.1043278875935214e-07
0.076,1.5091941191363696e-07
0.07625,1.8350007097834416e-07
0.0765,2.0072465195658723e-07
0.07675,1.9655743003797005e-07
0.077,1.704557511529244e-07
0.07725,1.2940885071026783e-07
0.0775,8.353615061708405e-08
0.07775,3.940840017454276e-08
0.078,2.0001879846223204e-09
0.07825,-2.608019472420063e-08
0.0785,-4.430163245287131e-08
0.07875,-5.413833836893249e-08
0.079,-5.697911655926469e-08
0.07925,-5.385012617448371e-08
0.0795,-4.556568273452784e-08
0.07975,-3.438220300934034e-08
0.08,-2.2489227054908514e-08
0.08025,-1.1428993347933587e-08
0.0805,-2.5157214643590284e-09
0.08075,3.4544322242811886e-09
0.081,6.7420282747471495e-09
0.08125,8.512400624255874e-09
0.0815,1.0053285509841471e-08
0.08175,1.2054193797691417e-08
0.082,1.457342944124462e-08
0.08225,1.6910526275167023e-08
0.0825,1.8210117784151623e-08
0.08275,1.787972065231081e-08
0.083,1.6110336959451045e-08
0.08325,1.3653728351407447e-08
0.0835,1.1745955562924798e-08
0.08375,1.1474222221850446e-08
0.084,1.308063161919388e-08
0.08425,1.6378588164757565e-08
0.0845,2.0773518519040743e-08
0.08475,2.5724690490256067e-08
0.085,3.089739953197518e-08
0.08525,3.6204351542497445e-08
0.0855,4.196390484425415e-08
0.08575,4.814331281120949e-08
0.086,5.4676503831547694e-08
0.08625,6.11697085297689e-08
0.0865,6.742026814759459e-08
0.08675,7.275288585001723e-08
0.087,7.714894202006961e-08
0.08725,8.031009092474486e-08
0.0875,8.190344888290446e-08
0.08775,8.196498242958251e-08
0.088,8.090692978105985e-08
0.08825,7.901682614324947e-08
0.0885,7.656232490359674e-08
0.08875,7.426205363598965e-08
0.089,7.214947303831011e-08
0.08925,7.023852195077214e-08
0.0895,6.831470146379587e-08
0.08975,6.62099816717705e-08
0.09,6.385407466913755e-08
0.09025,6.14221474509771e-08
0.0905,5.9412267456987204e-08
0.09075,5.7741195042098656e-08
0.091,5.646954050062485e-08
0.09125,5.557701829758731e-08
0.0915,5.443565618282612e-08
0.09175,5.307703029121217e-08
0.092,5.117448762802583e-08
0.09225,4.866433478051014e-08
0.0925,4.54248342880367e-08
0.09275,4.1583544709452903e-08
0.093,3.744077444556439e-08
0.09325,3.288791079516575e-08
0.0935,2.8318991416714677e-08
0.09375,2.3945291873325903e-08
0.094,2.0016094629425355e-08
0.09425,1.6373219689755606e-08
0.0945,1.3115715112419966e-08
0.09475,9.925577280353842e-09
0.095,6.926386497468611e-09
0.09525,4.245085573850683e-09
0.0955,2.154326446213061e-09
0.09575,8.3389332275393e-10
0.096,3.645847373051946e-10
0.09625,6.385477997824868e-10
0.0965,1.4655191196369367e-09
0.09675,2.5492818466804054e-09
0.097,3.6596002463757182e-09
0.09725,4.62584936467443e-09
0.0975,5.3707164188704485e-09
0.09775,5.853619579847002e-09
0.098,6.134219806682771e-09
0.09825,6.242096020170294e-09
0.0985,6.2725391047276065e-09
0.09875,6.269428727356162e-09
0.099,6.157568439880097e-09
0.09925,5.788695653722866e-09
0.0995,4.99650557203889e-09
0.09975,3.6463180734259213e-09
0.1,1.8440081136858616e-09
0.10025,-2.4358680288500244e-10
0.1005,-2.2331037469096053e-09
0.10075,-3.823533704954438e-09
0.101,-4.74013794651862e-09
0.10125,-4.910369863013867e-09
0.1015,-4.381120992871816e-09
0.10175,-3.2938707326095837e-09
0.102,-1.7933371481999339e-09
0.10225,-5.614421545501688e-13
0.1025,2.0945352796192357e-09
0.10275,4.544569048011022e-09
0.103,7.51874741122395e-09
0.10325,1.113070741030378e-08
0.1035,1.543652443405465e-08
0.10375,2.0196480817113433e-08
0.104,2.519513874839972e-08
0.10425,3.01155815201044e-08
0.1045,3.417993120920146e-08
0.10475,3.7385331231686205e-08
0.105,3.9543801372671726e-08
0.10525,4.097682191113809e-08
0.1055,4.181690919853729e-08
0.10575,4.2310844052259495e-08
0.106,4.28917019559279e-08
0.10625,4.3301684090967896e-08
0.1065,4.377847508254614e-08
0.10675,4.402720923514407e-08
0.107,4.3685735321435083e-08
0.10725,4.251311651530737e-08
0.1075,4.0620006002611784e-08
0.10775,3.8617672071089315e-08
0.108,3.6880578893079745e-08
0.10825,3.6173272880892345e-08
0.1085,3.677419772406857e-08
0.10875,3.806595047340505e-08
0.109,3.941438358934154e-08
0.10925,3.941207830706418e-08
0.1095,3.765914753934507e-08
0.10975,3.387637483568282e-08
0.11,2.9074985949872057e-08
0.11025,2.4578403279457983e-08
0.1105,2.102040654488685e-08
0.11075,1.8452596289738224e-08
0.111,1.614379710849828e-08
0.11125,1.2651038515997631e-08
0.1115,6.91468843340898e-09
0.11175,-1.1803280178336337e-09
0.112,-1.0520054247376341e-08
0.11225,-1.95621845222839e-08
0.1125,-2.687543711081773e-08
0.11275,-3.158350969844467e-08
0.113,-3.189001430657279e-08
0.11325,-2.7017228468858656e-08
0.1135,-1.628140986426212e-08
0.11375,1.425852693237337e-09
0.114,2.718887418591908e-08
0.11425,6.224354446890043e-08
0.1145,1.0495261713162424e-07
0.11475,1.4578747372809812e-07
0.115,1.7749893248488114e-07
0.11525,1.9556885359207568e-07
0.1155,1.9249119700179743e-07
0.11575,1.6954193217296475e-07
0.116,1.3036598408009667e-07
0.11625,8.413053185008407e-08
0.1165,3.91011843499543e-08
0.11675,7.776867153546038e-10
0.117,-2.8113245839473758e-08
0.11725,-4.695689091725013e-08
0.1175,-5.635131348579191e-08
0.11775,-5.77406072494716e-08
0.118,-5.356440670401834e-08
0.11825,-4.51789384412043e-08
0.1185,-3.415151291727261e-08
0.11875,-2.1886061408805025e-08
0.119,-1.0371275892488875e-08
0.11925,-9.584315114048228e-10
0.1195,5.673077754712689e-09
0.11975,1.0017374910957187e-08
0.12,1.269752250322681e-08
0.12025,1.4924536318007506e-08
0.1205,1.74494864281445e-08
0.12075,2.046407115641545e-08
0.121,2.319133133110965e-08
0.12125,2.475012623274777e-08
0.1215,2.433354123907362e-08
0.12175,2.2060610253981648e-08
0.122,1.88453252120044e-08
0.12225,1.5981027721128e-08
0.1225,1.4630362410437766e-08
0.12275,1.559143060267023e-08
0.123,1.850641246142735e-08
0.12325,2.2878951973708138e-08
0.1235,2.829025423919398e-08
0.12375,3.4037279383579216e-08
0.124,4.022087194123909e-08
0.12425,4.675801556941569e-08
0.1245,5.355150114334852e-08
0.12475,6.081867779973025e-08
0.125,6.791931608141683e-08
0.12525,7.498383965282697e-08
0.1255,8.124785787340493e-08
0.12575,8.625014953527158e-08
0.126,8.942444917368928e-08
0.12625,9.055078242325861e-08
0.1265,8.935161578490505e-08
0.12675,8.650499074669391e-08
0.127,8.237828945919219e-08
0.12725,7.766995962966131e-08
0.1275,7.310353021058574e-08
0.12775,6.885393132404741e-08
0.128,6.51536803981088e-08
0.12825,6.160915181071451e-08
0.1285,5.8267111087237585e-08
0.12875,5.530122524507695e-08
0.129,5.267381419641093e-08
0.12925,5.057883858185777e-08
0.1295,4.934714565743565e-08
0.12975,4.852749703926256e-08
0.13,4.836347877039963e-08
0.13025,4.828340673468268e-08
0.1305,4.805423309148567e-08
0.13075,4.704017904052051e-08
0.131,4.51929534018729e-08
0.13125,4.191816692403086e-08
0.1315,3.731670293673246e-08
0.13175,3.159777967368724e-08
0.132,2.5286217142927372e-08
0.13225,1.886946851153934e-08
0.1325,1.2547072706833516e-08
0.13275,6.867178597887705e-09
0.133,1.7806369498891175e-09
0.13325,-2.7712341204195327e-09
0.1335,-6.778696171725022e-09
0.13375,-1.0061233563157516e-08
0.134,-1.2417011516797881e-08
0.13425,-1.3615776162019389e-08
0.1345,-1.3496252537282183e-08
0.13475,-1.2047763676006659e-08
0.135,-9.452795846466776e-09
0.13525,-5.996818103290918e-09
0.1355,-2.1130454007802493e-09
0.13575,1.743494210292121e-09
0.136,5.11480972884925e-09
0.13625,7.668125118760817e-09
0.1365,9.237317400292447e-09
0.13675,9.876574085740122e-09
0.137,9.775240959156591e-09
0.13725,9.184123273535826e-09
0.1375,8.26622448924024e-09
0.13775,7.059459591278945e-09
0.138,5.525777647509284e-09
0.13825,3.583155042468586e-09
0.1385,1.3034493124671178e-09
0.13875,-1.1214392847996192e-09
0.139,-3.3277784801097107e-09
0.13925,-4.937802081777329e-09
0.1395,-5.595930438612839e-09
0.13975,-5.0991851141500635e-09
0.14,-3.3991126399372096e-09
0.14025,-6.632744044662083e-10
0.1405,2.8096610474250884e-09
0.14075,6.609050691456842e-09
0.141,1.038486041938177e-08
0.14125,1.3879430927234159e-08
0.1415,1.7141458840355335e-08
0.14175,2.0354348160861476e-08
0.142,2.3733434259593384e-08
0.14225,2.7207902740485093e-08
0.1425,3.065196161662051e-08
0.14275,3.36249551519731e-08
0.143,3.568935343533565e-08
0.14325,3.667819438319603e-08
0.1435,3.640716970458642e-08
0.14375,3.53132470349813e-08
0.144,3.364469867298369e-08
0.14425,3.215704881369493e-08
0.1445,3.0965660857593296e-08
0.14475,3.0470667245808404e-08
0.145,3.0579826387580403e-08
0.14525,3.091811780811521e-08
0.1455,3.0943531956675064e-08
0.14575,3.032949311543944e-08
0.146,2.8970373576108722e-08
0.14625,2.722427205133401e-08
0.1465,2.559219268676506e-08
0.14675,2.4835246895638288e-08
0.147,2.4985525757677265e-08
0.14725,2.5705824435367837e-08
0.1475,2.595456493651791e-08
0.14775,2.4959138281429254e-08
0.148,2.19396634307999e-08
0.14825,1.7197686352725145e-08
0.1485,1.1748121194390246e-08
0.14875,6.944689137031999e-09
0.149,3.2686188612419837e-09
