Time,Modified_Signal
0.0,0.0005057319669592739
0.00025,0.000430728213222797
0.0005,0.0003256317148618751
0.00075,0.0002088145991961136
0.001,9.936022428402669e-05
0.00125,7.121238865223725e-06
0.0015,-6.185750879813089e-05
0.00175,-0.00010624469453927694
0.002,-0.0001285418847852125
0.00225,-0.00013350967374657275
0.0025,-0.00012761387675842923
0.00275,-0.00011694076198754826
0.003,-0.00010620542242696101
0.00325,-9.746705192601804e-05
0.0035,-9.140675763550724e-05
0.00375,-8.704523363029408e-05
0.004,-8.310839228572696e-05
0.00425,-7.898085449802287e-05
0.0045,-7.430625005662519e-05
0.00475,-6.893343359399071e-05
0.005,-6.300580282671953e-05
0.00525,-5.678362775303595e-05
0.0055,-5.0629064717395864e-05
0.00575,-4.500595421726467e-05
0.006,-4.0061091407166065e-05
0.00625,-3.5775177930358634e-05
0.0065,-3.2069078402302765e-05
0.00675,-2.8691558475561407e-05
0.007,-2.529779254621381e-05
0.00725,-2.149963142737157e-05
0.0075,-1.682776820209148e-05
0.00775,-1.0350047603341348e-05
0.008,-2.3607903941006394e-06
0.00825,7.60983754063647e-06
0.0085,2.0267606302597403e-05
0.00875,3.580967141818456e-05
0.009,5.346447023244288e-05
0.00925,7.311878220393288e-05
0.0095,9.482518231809183e-05
0.00975,0.00011772667205054816
0.01,0.00014082733522952716
0.01025,0.00016345504967632952
0.0105,0.0001848739450875486
0.01075,0.0002043717351997294
0.011,0.00022090358824790747
0.01125,0.00023432757975961477
0.0115,0.00024346057421198165
0.01175,0.000248916360232029
0.012,0.00024984974317025213
0.01225,0.000246532940567295
0.0125,0.00024006220565874416
0.01275,0.000230230079524275
0.013,0.0002188282598500399
0.01325,0.0002057561729894013
0.0135,0.00019211682920748248
0.01375,0.00017890397951261566
0.014,0.00016622392456941092
0.01425,0.000154830850073097
0.0145,0.0001452297773139328
0.01475,0.0001369608564874671
0.015,0.00012976044327931395
0.01525,0.00012395491933957507
0.0155,0.00011850468206172149
0.01575,0.00011276560211022916
0.016,0.00010675187068540525
0.01625,9.899161734570417e-05
0.0165,8.916016868087432e-05
0.01675,7.729682609668075e-05
0.017,6.30602945969074e-05
0.01725,4.652993043071608e-05
0.0175,2.7964438191802324e-05
0.01775,7.853639260204532e-06
0.018,-1.3176935157350305e-05
0.01825,-3.4286741472884546e-05
0.0185,-5.4544533916084025e-05
0.01875,-7.308280324252626e-05
0.019,-8.904026327701842e-05
0.01925,-0.00010171634742511522
0.0195,-0.00011063291854383573
0.01975,-0.00011549965038828861
0.02,-0.00011639817285704916
0.02025,-0.00011353703662387331
0.0205,-0.00010752557157316973
0.02075,-9.909707301878712e-05
0.021,-8.909013086352243e-05
0.02125,-7.852758309158415e-05
0.0215,-6.825288163339606e-05
0.02175,-5.918572413052477e-05
0.022,-5.1978093167656684e-05
0.02225,-4.703875580208667e-05
0.0225,-4.4538291703803385e-05
0.02275,-4.438594573036072e-05
0.023,-4.6172670524621136e-05
0.02325,-4.928087571166729e-05
0.0235,-5.2901610823044855e-05
0.02375,-5.6073099475293566e-05
0.024,-5.795827355539817e-05
0.02425,-5.764297411112044e-05
0.0245,-5.439581945398584e-05
0.02475,-4.767376780711081e-05
0.025,-3.7305041601209486e-05
0.02525,-2.324942951728802e-05
0.0255,-5.835096144879385e-06
0.02575,1.4392363676488903e-05
0.026,3.667614898570696e-05
0.02625,6.00967833850545e-05
0.0265,8.349669517821246e-05
0.02675,0.00010580262507926172
0.027,0.00012604590667069894
0.02725,0.0001433856266576921
0.0275,0.00015718259999361855
0.02775,0.0001669435342690556
0.028,0.00017239469842543202
0.02825,0.00017402769482329994
0.0285,0.00017243350088014944
0.02875,0.0001673557942672761
0.029,0.00016016383010193885
0.02925,0.00015103857137057963
0.0295,0.00014097812292709541
0.02975,0.00013112862996910707
0.03,0.00012165046277029401
0.03025,0.0001129144826208136
0.0305,0.00010570767381992214
0.03075,9.935358798793538e-05
0.031,9.381787645347677e-05
0.03125,8.911500415317022e-05
0.0315,8.40231739779861e-05
0.03175,7.848726515795952e-05
0.032,7.198151358367024e-05
0.03225,6.379833119818463e-05
0.0325,5.372891840368139e-05
0.03275,4.1658437003900596e-05
0.033,2.7527345311105826e-05
0.03325,1.1505331116013422e-05
0.0335,-6.198653858077804e-06
0.03375,-2.530851423342066e-05
0.034,-4.553069537105986e-05
0.03425,-6.656858096481898e-05
0.0345,-8.836749570472251e-05
0.03475,-0.00011091523264421335
0.035,-0.0001333687234312075
0.03525,-0.0001532963484208017
0.0355,-0.00016783673989468695
0.03575,-0.00017176861037349248
0.036,-0.00016081198368792296
0.03625,-0.00013018305311665295
0.0365,-7.461084360066341e-05
0.03675,6.276805099180572e-06
0.037,0.00010782057012589184
0.03725,0.00021927818308396422
0.0375,0.0003253131822236317
0.03775,0.00040468260538056985
0.038,0.00044361070763477986
0.03825,0.00042879883368621147
0.0385,0.00036372945723914696
0.03875,0.0002669183618433864
0.039,0.00015729660738447824
0.03925,5.3227889790541795e-05
0.0395,-3.261256847276402e-05
0.03975,-9.349745786703781e-05
0.04,-0.00012755545906630917
0.04025,-0.00013601150328916705
0.0405,-0.0001261272682725442
0.04075,-0.00010428684321348185
0.041,-7.635008161131958e-05
0.04125,-4.596952063340624e-05
0.0415,-1.7157416910251766e-05
0.04175,7.399884822328632e-06
0.042,2.7423023409081238e-05
0.04225,4.39419354287882e-05
0.0425,5.7425099538026286e-05
0.04275,6.826037920648223e-05
0.043,7.663200381658264e-05
0.04325,8.27185247131363e-05
0.0435,8.65488905938031e-05
0.04375,8.815312611837439e-05
0.044,8.769071202729339e-05
0.04425,8.569907827133137e-05
0.0445,8.266304385009672e-05
0.04475,7.919346895706961e-05
0.045,7.581167392106301e-05
0.04525,7.299887552630866e-05
0.0455,7.162186672350961e-05
0.04575,7.169680741403874e-05
0.046,7.346419611053273e-05
0.04625,7.671954322127735e-05
0.0465,8.223289434768175e-05
0.04675,8.89857429381068e-05
0.047,9.689517922106049e-05
0.04725,0.00010590789156510957
0.0475,0.00011490724614828939
0.04775,0.00012354188213488862
0.048,0.00013147168250464782
0.04825,0.00013835487764522948
0.0485,0.00014362034846011516
0.04875,0.00014751124343069457
0.049,0.00014916401210454856
0.04925,0.00014918156284167325
0.0495,0.00014753303941648628
0.04975,0.00014383057971829795
0.05,0.00013908946656079657
0.05025,0.0001328410495655843
0.0505,0.00012589613396353237
0.05075,0.00011853533776877348
0.051,0.00011149200715639406
0.05125,0.00010451497641760138
0.0515,9.794475921664928e-05
0.05175,9.257296727681639e-05
0.052,8.801729365919706e-05
0.05225,8.425986335047436e-05
0.0525,8.156848144805702e-05
0.05275,7.96824796431927e-05
0.053,7.838937133531778e-05
0.05325,7.734592245891062e-05
0.0535,7.670175805296711e-05
0.05375,7.596703760385319e-05
0.054,7.502708148655383e-05
0.05425,7.412948276056088e-05
0.0545,7.201783455555728e-05
0.05475,7.002454334533578e-05
0.055,6.675074081962324e-05
