Time,Modified_Signal
0.0,1.5327919480459214e-05
0.00025,1.4734899315168646e-05
0.0005,1.1514177364457909e-05
0.00075,6.112709915273306e-06
0.001,1.5729369727231918e-09
0.00125,-4.884019602194182e-06
0.0015,-6.886003831006133e-06
0.00175,-5.758827080205768e-06
0.002,-2.914050747050896e-06
0.00225,-4.5418600044779515e-07
0.0025,2.650753507656242e-07
0.00275,-5.881760547053682e-07
0.003,-1.802212113879803e-06
0.00325,-2.245967571753389e-06
0.0035,-1.669491601700867e-06
0.00375,-5.688448003933042e-07
0.004,4.2396705034349446e-07
0.00425,9.996718810650484e-07
0.0045,1.2247282964184053e-06
0.00475,1.3079258396153498e-06
0.005,1.3979676130786118e-06
0.00525,1.5134455705911484e-06
0.0055,1.5586643413102541e-06
0.00575,1.40267778331487e-06
0.006,1.0451976823485825e-06
0.00625,7.172972579813871e-07
0.0065,7.79185974613571e-07
0.00675,1.4177035717482038e-06
0.007,2.4065048428055204e-06
0.00725,3.2100872686304127e-06
0.0075,3.399498215190803e-06
0.00775,3.0123654011709007e-06
0.008,2.456858618930454e-06
0.00825,2.2013133348085513e-06
0.0085,2.4182946889416423e-06
0.00875,2.9300880155101548e-06
0.009,3.427745460750549e-06
0.00925,3.7512662049489854e-06
0.0095,3.927110295984834e-06
0.00975,4.040668218795565e-06
0.01,4.160562912134715e-06
0.01025,4.299098677460845e-06
0.0105,4.392282304383337e-06
0.01075,4.342494188692834e-06
0.011,4.102436895481481e-06
0.01125,3.8000645456181734e-06
0.0115,3.636372748525419e-06
0.01175,3.7945000795772464e-06
0.012,4.161937752079004e-06
0.01225,4.433514204304213e-06
0.0125,4.348804519311368e-06
0.01275,3.852065842810801e-06
0.013,3.22118123812632e-06
0.01325,2.723374281681782e-06
0.0135,2.4906557268803114e-06
0.01375,2.437876762278319e-06
0.014,2.3727339448100448e-06
0.01425,2.201480417818195e-06
0.0145,1.9487941489005636e-06
0.01475,1.6780857436982352e-06
0.015,1.4556172103400003e-06
0.01525,1.3162370789263671e-06
0.0155,1.186599806619984e-06
0.01575,9.69533968671482e-07
0.016,6.383106566300595e-07
0.01625,2.376389535001626e-07
0.0165,-4.675932645097048e-08
0.01675,-5.0320850502158456e-08
0.017,1.9476466990847383e-07
0.01725,4.780668347451852e-07
0.0175,5.700068906877056e-07
0.01775,4.1149672052202536e-07
0.018,1.4768590204788217e-07
0.01825,-1.3285586746612059e-08
0.0185,2.6908830113558817e-08
0.01875,2.0593639412001475e-07
0.019,3.9761258485216367e-07
0.01925,5.224605528413838e-07
0.0195,5.891185082853218e-07
0.01975,6.596393970272342e-07
0.02,7.879135495834175e-07
