Time,Modified_Signal
0.0,5.9855914372686385e-09
0.00025,1.7124637901116127e-09
0.0005,-2.209583169244741e-09
0.00075,-5.168805043123973e-09
0.001,-7.34691824533867e-09
0.00125,-9.417405209460125e-09
0.0015,-1.1766484189896616e-08
0.00175,-1.4147627354853393e-08
0.002,-1.58727409829892e-08
0.00225,-1.6242384173697507e-08
0.0025,-1.5093358479376834e-08
0.00275,-1.2895388343802898e-08
0.003,-1.0529657184789317e-08
0.00325,-8.762169902960358e-09
0.0035,-7.927900655223654e-09
0.00375,-7.798610184319657e-09
0.004,-7.863536232190555e-09
0.00425,-7.67741794853047e-09
0.0045,-7.0832853052873794e-09
0.00475,-6.195283205377437e-09
0.005,-5.241675047718101e-09
0.00525,-4.358213875445029e-09
0.0055,-3.536962455775879e-09
0.00575,-2.6950559745775005e-09
0.006,-1.7960749524528034e-09
0.00625,-9.053748762154177e-10
0.0065,-1.411511836461549e-10
0.00675,4.567768351224467e-10
0.007,9.875045760284622e-10
0.00725,1.645077600963831e-09
0.0075,2.5823017131487805e-09
0.00775,3.804902043976897e-09
0.008,5.091192093651109e-09
0.00825,6.196538698774499e-09
0.0085,6.979267936752841e-09
0.00875,7.474444556816747e-09
0.009,7.839835845436644e-09
0.00925,8.297712997242602e-09
0.0095,8.963661144172048e-09
0.00975,9.76576912326435e-09
0.01,1.053459828908685e-08
0.01025,1.1134409265225629e-08
0.0105,1.1523905881398615e-08
0.01075,1.175400279156678e-08
0.011,1.1886750973275008e-08
0.01125,1.1968206402512908e-08
0.0115,1.1938856604224116e-08
0.01175,1.1797559053618091e-08
0.012,1.1506840697585879e-08
0.01225,1.1150179766902113e-08
0.0125,1.0820728771704071e-08
0.01275,1.051675510292738e-08
0.013,1.0208547412331951e-08
0.01325,9.735411782710684e-09
0.0135,9.026373896476398e-09
0.01375,8.098773742949882e-09
0.014,7.052410776497666e-09
0.01425,6.057859551935638e-09
0.0145,5.21685037888965e-09
0.01475,4.491700632850973e-09
0.015,3.778704153382167e-09
0.01525,2.9893661859391766e-09
0.0155,2.048165172432818e-09
0.01575,1.0049753459318328e-09
0.016,-3.214874750936246e-11
0.01625,-1.0253691077256757e-09
0.0165,-1.9429258079007978e-09
0.01675,-2.7995136339819468e-09
0.017,-3.6294171747534505e-09
0.01725,-4.423389906645107e-09
0.0175,-5.1472082195100894e-09
0.01775,-5.7744627341804086e-09
0.018,-6.327406165235681e-09
0.01825,-6.865802019849726e-09
0.0185,-7.45034460774822e-09
