Time,Modified_Signal
0.0,2.660521567690663e-06
0.00025,1.2000247540224552e-06
0.0005,-4.1902432954357607e-07
0.00075,-1.916921544317963e-06
0.001,-3.177936572485727e-06
0.00125,-4.24259894032348e-06
0.0015,-5.1312526748694424e-06
0.00175,-5.7816319234699836e-06
0.002,-6.098593547746857e-06
0.00225,-6.016402727578178e-06
0.0025,-5.592467081520241e-06
0.00275,-4.9799791737111395e-06
0.003,-4.367971654522308e-06
0.00325,-3.8722269872478864e-06
0.0035,-3.519342430817134e-06
0.00375,-3.2486970563077997e-06
0.004,-2.9959456860456524e-06
0.00425,-2.7434388741440893e-06
0.0045,-2.516918613829939e-06
0.00475,-2.3361589908097265e-06
0.005,-2.1789890239805443e-06
0.00525,-1.9721755682305194e-06
0.0055,-1.6437818940351879e-06
0.00575,-1.181403012726639e-06
0.006,-6.571049845977904e-07
0.00625,-1.922446637625412e-07
0.0065,1.1591791462164219e-07
0.00675,2.670262604817873e-07
0.007,3.624439567708148e-07
0.00725,5.458892235157366e-07
0.0075,9.1214669412303e-07
0.00775,1.4526382960335322e-06
0.008,2.0382498328663946e-06
0.00825,2.5290689655435178e-06
0.0085,2.847795985590361e-06
0.00875,3.0153901571429387e-06
0.009,3.119091882345855e-06
0.00925,3.2717751534250015e-06
0.0095,3.53079366403108e-06
0.00975,3.863413910130702e-06
0.01,4.1893599112837374e-06
0.01025,4.442588911470586e-06
0.0105,4.601615059463123e-06
0.01075,4.68890962543419e-06
0.011,4.734761891903939e-06
0.01125,4.762077936306024e-06
0.0115,4.7485781261666e-06
0.01175,4.692636930512581e-06
0.012,4.577554688881736e-06
0.01225,4.4357170572272285e-06
0.0125,4.30456350854652e-06
0.01275,4.184194714657064e-06
0.013,4.0630762867064075e-06
0.01325,3.876696001018032e-06
0.0135,3.595769369195843e-06
0.01375,3.2263904740175506e-06
0.014,2.808248164406776e-06
0.01425,2.4100399395813517e-06
0.0145,2.073478691900471e-06
0.01475,1.7845385730500267e-06
0.015,1.5021104384004363e-06
0.01525,1.1902027157027274e-06
0.0155,8.174524574128992e-07
0.01575,4.026229485173984e-07
0.016,-1.1466933156690227e-08
0.01625,-4.0888116934822504e-07
0.0165,-7.755611591510949e-07
0.01675,-1.1163216402352204e-06
